Country,Population,Area
Brazil,193364000,8511965.00
Canada,342070000,9976140.00
China,1339190000,9596960.00
Colombia,48654392,1090909.09
Egypt,93383574,1000000.00
France,64668129,541656.76
Indonesia,260581100,1809590.97
Italy,59801004,300000.00
Japan,127380000,377835.00
Nigeria,173600000,912134.45
Mexico,128632004,1969230.76
South Africa,54978907,1222222.22
South Korea,50503933,98076.92
United States of America,309975000,9629091.00
Mostus Populus,1777655600,9596960.00
Small Areaty,1000000,10.00
